Sierra Code		Folio Service Point
0	Web v	Online
120	Technical Services tec	Norlin East Desk
141	Technical Services tec	Norlin East Desk
145	Technical Services tec	Norlin East Desk
150	Technical Services tec	Norlin East Desk
155	Technical Services tec	Norlin East Desk
156	Technical Services tec	Norlin East Desk
162	Technical Services tec	Norlin East Desk
163	Technical Services tec	Norlin East Desk
170	Norlin nor	Norlin East Desk
173	Norlin nor	Norlin East Desk
178	Periodicals Collect per	Norlin East Desk
180	Technical Services tec	Norlin East Desk
185	Technical Services tec	Norlin East Desk
190	Technical Services tec	Norlin East Desk
200	Norlin nor	Norlin East Desk
221	Web v	Online
228	Web v	Online
243	Art and Architecture art	Norlin East Desk
248	Art and Arch Patrons v	Norlin East Desk
260	Business bus	Business
261	Business bus	Business
262	Business bus	Business
263	Business bus	Business
265	Business bus	Business
266	Business bus	Business
268	Business Web Pat v	Online
269	Business bus	Business
280	Norlin nor	Norlin East Desk
281	Norlin nor	Norlin East Desk
282	Norlin nor	Norlin East Desk
283	Norlin nor	Norlin East Desk
284	Pascal pascu	PASCAL
286	Norlin nor	Norlin East Desk
288	Norlin Web Patrons v	Online
289	Norlin Selfcheck nself	Norlin East Desk
290	Norlin Selfcheck nself	Norlin East Desk
291	Norlin Selfcheck nself	Norlin East Desk
292	Norlin Selfcheck nself	Norlin East Desk
293	Norlin Selfcheck nself	Norlin East Desk
300	Norlin nor	Norlin East Desk
305	Norlin nor	Norlin East Desk
312	Norlin Prospector	Norlin East Desk
320	Earth Sciences esc	Earth Sciences & Map
321	Earth Sciences esc	Earth Sciences & Map
322	Earth Sciences esc	Earth Sciences & Map
323	Earth Sciences esc	Earth Sciences & Map
325	Earth Sciences esc	Earth Sciences & Map
328	Earth Sci Web Pat v	Online
340	Asian asn	Norlin East Desk
344	Technical Services tec	Norlin East Desk
360	Engineering eng	Engineering Math & Physics
361	Engineering eng	Engineering Math & Physics
363	Engineering eng	Engineering Math & Physics
365	Web Enginr Patrons v	Online
365	Web Enginr Patrons v	Online
366	Engineering eng	Engineering Math & Physics
368	Web Enginr Patrons v	Online
380	Gov. Pub. gov	Norlin East Desk
381	Gov. Pub. gov	Norlin East Desk
383	Gov. Pub. gov	Norlin East Desk
384	Gov. Pub. gov	Norlin East Desk
385	Technical Services tec	Norlin East Desk
386	Gov. Pub. gov	Norlin East Desk
388	Gov. Pub. Web v	Online
400	Earth Sciences esc	Earth Sciences & Map
401	Earth Sciences esc	Earth Sciences & Map
402	Earth Sciences esc	Earth Sciences & Map
403	Earth Sciences esc	Earth Sciences & Map
421	Math-Physics mph	Engineering Math & Physics
422	Math-Physics mph	Engineering Math & Physics
423	Math-Physics mph	Engineering Math & Physics
425	Math-Physics Pat v	Engineering Math & Physics
428	Math-Physics Pat v	Engineering Math & Physics
442	Norlin nor	Norlin East Desk
460	Music mus	Music
461	Music mus	Music
462	Music mus	Music
463	Music mus	Music
464	Music mus	Music
465	Music Web Patrons v	Online
466	Music mus	Music
468	Music Web Patrons v	Online
480	Central Reference ref	Norlin East Desk
483	Central Reference ref	Norlin East Desk
486	Central Reference ref	Norlin East Desk
488	Central Ref Patrons v	Norlin East Desk
503	Norlin nor	Norlin East Desk
506	Science sci	Norlin East Desk
508	Web Science Patrons v	Online
520	520 Archives arv	Archives
524	520 Archives arv	Archives
540	Special Collections spc	Rare Books Collection
543	Special Collections spc	Rare Books Collection
544	Special Collections spc	Rare Books Collection
546	Special Collections spc	Rare Books Collection
548	Sec Coll Patrons v	Rare Books Collection
560	Norlin nor	Norlin East Desk
603	Commons comlp	Norlin East Desk
820	Norlin nor	Norlin East Desk
830	Norlin nor	Norlin East Desk
840	Norlin nor	Norlin East Desk
841	Norlin nor	Norlin East Desk
997	Norlin nor	Norlin East Desk
998	Norlin nor	Norlin East Desk
999	Norlin nor	Norlin East Desk
