Location Code	Location Name	MFHD Perm Loc (Unsuppressed)	Item Perm Loc (Unsuppressed)	Item Temp Loc (Unsuppressed)	MFHD Perm Loc (Suppressed)	Item Perm Loc (Suppressed)	Item Temp Loc (Suppressed)	Unsuppressed	Suppressed	FOLIO Location Name	FOLIO Location Code	FOLIO service point/Library	Campus
LES-EBOOKS	LES-EBOOKS	8,038	177		26	1		Keep	Purge	Ebooks	ebk	Online	Online
LES-EJOURN	LES-EJOURNAL	101	78					Keep	Purge	Ejournals	ejr	Online	Online
AIB-CMX	AIB-CMX	893	948		177	177		Keep	Purge	Moriarty Comics	mcm	Moriarty	Porter Campus
AIB-DISPLY	AIB-DISPLAY			69			9	Keep	Purge	Moriarty Display	mds	Moriarty	Porter Campus
AIB-DSPOFF	AIB-DISPLAY-OFFSITE			2				Keep	Purge	Moriarty Display Offsite	mdo	Moriarty	Porter Campus
AIB-DVD	AIB-DVD	568	623	1	10	1		Keep	Purge	Moriarty DVD	mdv	Moriarty	Porter Campus
AIB-ALUM	AIB-ALUM	115	138	1				Keep	Purge	Moriarty Lesley Authors	mla	Moriarty	Porter Campus
AIB-OVER	AIB-OVER	231	245	1				Keep	Purge	Moriarty Oversize	mov	Moriarty	Porter Campus
AIB-PER	AIB-PER	68	66		32	27		Keep	Purge	Moriarty Periodicals	mpr	Moriarty	Porter Campus
AIB-RARE	AIB-RARE BOOKS	81	98		10	10		Keep	Purge	Moriarty Rare Books	mrb	Moriarty	Porter Campus
AIB-REF	AIB-REF	20	42		7	34		Keep	Purge	Moriarty Reference	mrf	Moriarty	Porter Campus
AIB-RESERV	AIB-RESERV	70	25	14	28	17		Keep	Purge	Moriarty Reserves	mrv	Moriarty	Porter Campus
AIB-SPRESV	AIB-SPRESV	103	118	1	1	3		Keep	Purge	Moriarty Special Reserves	msr	Moriarty	Porter Campus
AIB-STACKS	AIB-STACKS	10,418	10,971	2	52	16		Keep	Purge	Moriarty Stacks	msk	Moriarty	Porter Campus
LES-ARCV	LES-ARCHIVES	227	246					Keep	Purge	Sherrill Archives	sar	Archives	South Campus
LESDISPLAY	LESDISPLAY		5	67				Keep	Purge	Sherrill Display	sds	Sherrill	South Campus
LESK-EARLY	LESK-EARLY	324	327		2			Keep	Keep	Sherrill Early Readers	ser	Sherrill	South Campus
LES-FAC	LES-FACULTY		1	350				Keep	Keep	Sherrill Faculty	sfa	Sherrill	South Campus
LESK-PORT	LESK-PORT	122	123		2	1		Keep	Keep	Sherrill Juv Big Books	sjb	Sherrill	South Campus
LESK-FICT	LESK-FICTION	1,856	1,869		3	1		Keep	Keep	Sherrill Juv Fiction	sjf	Sherrill	South Campus
LESKSTACKS	LESKSTACKS	4,811	4,800	1	5			Keep	Keep	Sherrill Juv Nonfiction	sjn	Sherrill	South Campus
