Legacy Code	Legacy Name	Count Perm (Unsuppressed)	Count Temp (Unsuppressed)	Count Perm (Suppressed)	Count Temp (Suppressed)	Perm Type (Unsuppressed)	Perm Type (Suppressed)	FOLIO Name	Notes
Archive	Archive	1		32		Keep	Keep	Archive	
Artist Bk	Artist Bk	451		1		Keep	Keep	Artist's Book	
AuctionCat	Auction Catalog	64814		24		Keep	Keep	Auction Catalog	
AV	Audio Visual					Keep	Keep	AV	
Book	Book	214593	11	2744		Keep	Keep	Book	
Book	Book	214593	11	2744		Keep	Keep	Book	
Folio	Folio	112				Keep	Keep	Folio	
Microfiche	Microfiche	5				Keep	Keep	Microfiche	
Microfilm	Microfilm	12				Keep	Keep	Microfilm	
Microform	Microform	220				Keep	Keep	Microform	
Non-Circ.	Non-Circ.	1087	4	5		Keep	Keep	Non-Circ.	
Vert. File	Vert. File	12804		4		Keep	Keep	Vertical File	
CD-ROM	CD-ROM	62		19		Purge	Purge		
DVD	DVD	37		13		Purge	Purge		
PERIODICAL	PERIODICAL	1				Keep	Keep	Serial	
Online	Online					New Type	New Type	Online	
Videotape	Videotape	17		21		Purge	Purge		
	Totals	508,809	26	5,607	0				
