Legacy location code (945$l)	Folio location code	Folio label (optional)	Folio service point
bks	Book Stacks	bks	
sing	Book Stacks	bks	
rfbks	Book Stacks	bks	
ovbks	Oversize Books	ovb	
score	Score Stacks	sco	
scost	Score Stacks	sco	
ovsc	Oversize Scores	ovs	
rfsco	Reference Scores	ref	
per	Periodicals	per	
cass	Ask Staff	ask	
cd	Ask Staff	ask	
cdbk	Ask Staff	ask	
cdrom	Ask Staff	ask	
clbks	Ask Staff	ask	
dvd	Ask Staff	ask	
dvdbk	Ask Staff	ask	
lp	Ask Staff	ask	
mdvd	Ask Staff	ask	
mreel	Ask Staff	ask	
msmcd	Ask Staff	ask	
msmvd	Ask Staff	ask	
rare	Ask Staff	ask	
tape	Ask Staff	ask	
video	Ask Staff	ask	
aubks	Online	www	
ebook	Online	www	
ediss	Online	www	
escor	Online	www	
esub	Online	www	
onlin	Online	www	
strma	Online	www	
strmv	Online	www	
resvm	Reserve	res	
deskm	Circulation Desk	cir	
ill	Interlibrary Loan	ill	
webpr	Online	www	
web	Online	www	
scolg	Score Stacks	sco	
websc	Online	www	
bkhum	Book Stacks	bks	
