NCO-BOARDS	83	96	0	Keep	Boards Collection
NCO-CDROM	163	188	0	Keep	CD/DVD
NCO-CIRC	0	3	77	Move to NCO-STACKS	Reading Room
NCO-CLINIC	44	52	0	Keep	Clinical Collection
NCO-DISPLY	0	1	0	Move to NCO-STACKS	Reading Room
NCO-DRMRES	149	212	0	Keep	Dormant Reserves
NCO-EBOOK	234	61	0	Do Not Migrate	
NCO-EJRNLS	4	20	0	Do Not Migrate	
NCO-JRNLS	207	2	0	Keep	Print Journals
NCO-MYERS	160	165	0	Keep	Myers Collection
NCO-NEER	48	53	0	Keep	Roslindale
NCO-NEW	0	0	0	Move to NCO-STACKS	Reading Room
NCO-OFFSTE	189	219	0	Keep	Offsite Storage
NCO-REF	0	0	0	Move to NCO-STACKS	Reading Room
NCO-RESERV	93	185	112	Keep	Reserves
NCO-SPCOLL	1152	1291	1	Keep	Special Collections
NCO-STACKS	2679	2816	1	Keep	Reading Room
