2hrReserve	2	Move to book 	book
Archive	6	Move to book 	book
Audio Cass	2	Purge	
BOOK	172	Merged with Book	book
BoardsBook	89	Merged with Book	book
Book	3209	Keep	book
CD-ROM	4	Merge with CDROM	dvd
CDROM	139		dvd
DVD	55	Merge with CDROM	dvd
E-Book	42	Purge, not migrating e-resources	
Equipment	209	Keep	equipment
Kit	9	Merge with equipment	equipment
Magazine	1	Purge	
ONLINE	4	Purge, not migrating e-resources	
OVERSIZED	7	Merge with Book	book
Photocopy	113	Purge	
Rare	834	Merge with Book	book
Realia	12	Merge with equipment	equipment
Reference	10	Merge with Book	book
Serial	30	Keep 	serial
Slide	1	Purge	
Software	4	Purge	
THESIS	374	Merge with Thesis	thesis
Thesis	1	Keep	thesis
Videotape	17	Purge	
