Legacy loan type code (from item record)		Folio loan type name or ID	Legacy material type label		Legacy notes	Record Count
Itype (61)	Shelving Location (79)		ITYPE Label (61)	Shelving Location Label (79)		
0	arscr	circulating	Circulating	University Library ARS Curriculum Collection		6819
0	arsgc	circulating	Circulating	University Library ARS Government Documents - California		178
0	arsgd	circulating	Circulating	University Library ARS Government Documents		2959
0	arsms	circulating	Circulating	University Library ARS Main Stacks		425023
0	arsrf	circulating	Circulating	University Library ARS Reference Collection		3949
0	hchar	locally circulating	Circulating	Law Charney Hall		9832
0	hcirc	locally circulating	Circulating	Law Circulation Desk		11
0	hfol	locally circulating	Circulating	Law Folio		315
0	hloy	locally circulating	Circulating	Law Remote Storage		8
0	hroff	locally circulating	Circulating	Law Reference Desk		1
0	hstac	locally circulating	Circulating	Law Stacks		319
0	hstau	locally circulating	Circulating	Law Reserve Room		13
0	ucrst	circulating	Circulating	University Library Curriculum Collection, 2nd Floor		2519
0	ugdar	circulating	Circulating	University Library ARS Government Documents		14482
0	ugdca	circulating	Circulating	University Library Government Documents - California		100
0	ugdll	circulating	Circulating	University Library Government Documents, Lower Level		24004
0	ugdmi	circulating	Circulating	University Library Government Documents - Microforms, 3rd Floor		421
0	umnfo	circulating	Circulating	University Library Folios, 3rd Floor		19910
0	umnst	circulating	Circulating	University Library Main Stacks, Lower Level		128474
0	urfll	circulating	Circulating	University Library Reference, Lower Level		8
1	ars04	library use only	Non-Circulating	University Library Archives & Special Collections, 3rd Floor		6
1	ars08	library use only	Non-Circulating	University Library ARS Research Collection		1311
1	ars20	library use only	Non-Circulating	University Library Archives & Special Collections - College Library, 3rd Floor		75
1	ars22	library use only	Non-Circulating	University Library Archives & Special Collections - Photographs, 3rd Floor		13
1	ars24	library use only	Non-Circulating	University Library Archives & Special Collections - University Records, 3rd Floor	Reports, personal papers, etc.	1138
1	ars26	library use only	Non-Circulating	University Library Archives & Special Collections - History Reference		18
1	ars27	library use only	Non-Circulating	University Library Archives & Special Collections - Faculty Publications, 3rd Floor		244
1	ars31	library use only	Non-Circulating	University Library Archives & Special Collections - Manuscripts & Personal Papers, 3rd Floor		325
1	ars32	library use only	Non-Circulating	University Library Archives & Special Collections - Local History, 3rd Floor		31
1	ars33	library use only	Non-Circulating	University Library Archives & Special Collections - University Publications, 3rd Floor	Some monographs, but mostly serials	21
1	arsca	library use only	Non-Circulating	University Library Archives & Special Collections - California Collection, 3rd Floor		108
1	arsgd	library use only	Non-Circulating	University Library ARS Government Documents		23
1	arslw	library use only	Non-Circulating	Law Remote Storage (ARS)		4014
1	arsmc	library use only	Non-Circulating	University Library ARS Microforms		29790
1	arsms	library use only	Non-Circulating	University Library ARS Main Stacks		3419
1	arsrb	library use only	Non-Circulating	University Library Archives & Special Collections, 3rd Floor (ARS)		5430
1	arsrf	library use only	Non-Circulating	University Library ARS Reference Collection		11796
1	arsst	library use only	Non-Circulating	University Library Archives & Special Collections - Senior Theses, 3rd Floor		1341
1	arsth	library use only	Non-Circulating	University Library Archives & Special Collections - SCU Theses, 3rd Floor		992
1	hcal	library use only	Non-Circulating	Law California Collection		777
1	hchar	library use only	Non-Circulating	Law Charney Hall		6529
1	hfol	library use only	Non-Circulating	Law Folio		84
1	hloff	library use only	Non-Circulating	Law Library Office		66
1	hloy	library use only	Non-Circulating	Law Remote Storage		33
1	hmicr	library use only	Non-Circulating	Law Microform		119370
1	hper	library use only	Non-Circulating	Law Periodicals		1334
1	href	library use only	Non-Circulating	Law Reference		381
1	hres	library use only	Non-Circulating	Law Closed Reserve Room		1
1	hrmic	library use only	Non-Circulating	Law Microform Reference		9
1	hroff	library use only	Non-Circulating	Law Reference Desk		23
1	hstac	library use only	Non-Circulating	Law Stacks		83
1	hstau	library use only	Non-Circulating	Law Reserve Room		223
1	rsrch	library use only	Non-Circulating	University Library Archives & Special Collections - Research Collection, 3rd Floor		106
1	ucrst	library use only	Non-Circulating	University Library Curriculum Collection, 2nd Floor		3
1	ugdar	library use only	Non-Circulating	University Library ARS Government Documents		342
1	ugdca	library use only	Non-Circulating	University Library Government Documents - California		3
1	ugdcd	library use only	Non-Circulating	University Library Government Documents - CD Cabinet, 3rd Floor		4
1	ugdll	library use only	Non-Circulating	University Library Government Documents, Lower Level		167
1	ugdmi	library use only	Non-Circulating	University Library Government Documents - Microforms, 3rd Floor		86
1	ugdrf	library use only	Non-Circulating	University Library Government Documents - Reference, 1st Floor		12
1	ugdrl	library use only	Non-Circulating	University Library Government Documents - Reference, Lower Level		5
1	umifi	library use only	Non-Circulating	University Library Microforms, 3rd Floor		4107
1	umimc	library use only	Non-Circulating	University Library Microforms, Lower Level		512
1	umimf	library use only	Non-Circulating	University Library Microforms, Lower Level		72
1	umnfo	library use only	Non-Circulating	University Library Folios, 3rd Floor		76
1	umnst	library use only	Non-Circulating	University Library Main Stacks, Lower Level		53
