Sierra Item status code	Sierra Status Display	To migrate?	FOLIO status (choices) 	Notes
!	ON HOLDSHELF	N		Sierra System Defined (Circ Transaction)
$	LOST AND PAID	Y	Lost and paid	Sierra System Defined (Circ Transaction)
-	AVAILABLE	Y	Available	Sierra System Defined
b	BINDERY	Y	In process	Locally defined.
c	Awaiting Cataloging	Y	In process	Locally defined.
d	Discarded	Y	Withdrawn	Locally defined.
l	LOST	Y	Long missing	Locally defined.
m	MISSING	Y	Missing	Sierra System Defined
n	BILLED	N		Sierra System Defined (Circ Transaction)
o	LIB USE ONLY	Y	Restricted	Folio lacks sticky status. Sierra System Defined
p	ARS DELIVERED	N		Sierra System Defined (ASRSv2)
r	IN REPAIR	Y	In process	Locally defined.
s	ON SEARCH	Y	Missing	Locally defined.
t	IN TRANSIT	N		Sierra System Defined (Circ Transaction)
v	In Process	Y	In process	Locally defined.
x	NON-CIRC.	Y	Restricted	Folio lacks sticky status.
y	UNBD. CHECKOUT	Y	Available	Folio lacks sticky status. Locally defined.
z	CLMS RETD	Y	Claimed returned	Sierra System Defined (Circ Transaction)
