Location Code	Location Name	MFHD Loc (Unsuppressed) 	Item Loc (Unsuppressed)	MFHD Loc (Suppressed)	Item Loc (Suppressed)	Item Save Loc (Unsuppressed)	Item Save Loc (Suppressed)	Unsuppressed	Suppressed	FOLIO Location Name	FOLIO Location Code	Library	FOLIO service point	Note
arrbk	Rare Books		30		1			Keep	Keep	Archives	arc	Archives		
mecdr	CD-ROMs		65					Keep	Keep	CD-ROMs	cd	MacPhaidin Library		
mnrfa	Citation/Dictionary Shelf		23					Keep	Keep	Citation/Dictionary Shelf	cdic	MacPhaidin Library		
arstk	College Archives		10		3			Keep	Keep	College Archives	ca	Archives		
ccstk	Curriculum Coll Stacks		2739		17	5		Keep	Keep	Curriculum Collection	cc	MacPhaidin Library		
medvd	DVDs - 1st Floor Media Collection		4435		81	202	1	Keep	Keep	DVDs	dvd	MacPhaidin Library		
eeper	ejournal	170,559						Purge	Purge	ejournal	ej	MacPhaidin Library		
gdstk	Government Document Stacks		37962		169			Keep	Keep	Government Documents	gdc	MacPhaidin Library		
gdfch	Government Documents Microfiche		31237		7			Keep	Keep	Government Documents Microfiche	gdm	MacPhaidin Library		
gdgds	Gov Docs Storage		305					Keep	Keep	Government Documents Storage	gds	MacPhaidin Library		
arhon	Honig Collection		563					Keep	Keep	Honig Collection	hc	MacPhaidin Library		
iastk	Intercultural Affairs		216		1			Keep	Keep	Intercultural Affairs	ia	Intercultural Affairs		
irfch	Irish Docs Fiche		1003		20			Keep	Keep	Irish Docs Fiche	idf	MacPhaidin Library		
peprs	Journals - Storage	1	204					Keep	Keep	Journals Storage	js	MacPhaidin Library		
mnpop	Leisure Reading		916		13	2		Keep	Keep	Leisure Reading	lr	MacPhaidin Library		
ltstk	Library of Things		202		7	2		Keep	Keep	Library of Things	lot	MacPhaidin Library		
mnstk	Main Stacks - MacPhaidin	2	151745	58	448	399	1	Keep	Keep	Main Stacks - MacPhaidin	ms	MacPhaidin Library		
arpiu	Sr.M.Marchione Coll. on PiusXII		620					Keep	Keep	Marchione Collection	mc	Archives		
mpstk	Martin Papers - Archives		451					Keep	Keep	Martin Papers - Archives	mrtp	Archives		
mecad	Compact Discs		4,659					Keep	Keep	Music CDs	mcd	MacPhaidin Library		
nvstk	Novak Papers - Archives		587		15			Keep	Keep	Novak Papers - Archives	nvkp	Archives		
mnsto	Oversize Stacks		4,133	1	8	6		Keep	Keep	Oversize Stacks	ovs	MacPhaidin Library		
peper	Journals - Stacks	325	10	9				Keep	Keep	Print Journals	pj	MacPhaidin Library		
restk	Reference Stacks	2	5159	171	2	7		Keep	Keep	Reference	ref	MacPhaidin Library		
mnspc	Special Collections		13					Keep	Keep	Special Collections	spc	MacPhaidin Library		
tlstk	Teaching & Learning - 1st Floor		665		5			Keep	Keep	Teaching & Learning	tl	MacPhaidin Library		
shstk	William Rossi Collection		264		1			Keep	Keep	William Rossi Collection	wrc	MacPhaidin Library		
irdoc	Irish Documents		2,812		13			Merge	Merge	Irish Documents	ird	MacPhaidin Library		
irrbc	Irish Rare Book		65		7			Merge	Merge	Irish Documents	ird	MacPhaidin Library		
irref	Irish Docs Reference		62					Merge	Merge	Irish Documents	ird	MacPhaidin Library		
gdgof	Gov Docs Office		76					Merge	Merge	Office	ofc	MacPhaidin Library		
mnaqs	See Acquisition Librarian		27		5			Merge	Merge	Office	ofc	MacPhaidin Library		
mnofc	Cataloging Office		117		97			Merge	Merge	Office	ofc	MacPhaidin Library		
mnofd	Director's Office		11					Merge	Merge	Office	ofc	MacPhaidin Library		
mnoff	Library Office		13					Merge	Merge	Office	ofc	MacPhaidin Library		
mnofp	Periodicals Office		10					Merge	Merge	Office	ofc	MacPhaidin Library		
mnofr	Reference Office		6					Merge	Merge	Office	ofc	MacPhaidin Library		
mnofs	Systems Office		2					Merge	Merge	Office	ofc	MacPhaidin Library		
mnofz	Circulation Office		3					Merge	Merge	Office	ofc	MacPhaidin Library		
mnstc	Circulation Desk		12		3		6	Keep	Keep	Circulation Desk	mnstc	MacPhaidin Library		
pepjs	See Periodicals Librarian		1					Merge	Merge	Office	ofc	MacPhaidin Library		
rerfd	Reference Desk		44					Merge	Merge	Office	ofc	MacPhaidin Library		
mnrs1	24 hour reserve		25		76	8	52	Merge	Merge	Reserves	rsv	MacPhaidin Library		
mnrs3	3-day reserve		15		21		5	Merge	Merge	Reserves	rsv	MacPhaidin Library		
mnrs4	3 hour reserve		233		69	1	6	Merge	Merge	Reserves	rsv	MacPhaidin Library		
mnrsv	2-hour reserve		347		760	31	154	Merge	Merge	Reserves	rsv	MacPhaidin Library		
ccdvd	DVDs - Curriculum Collection					2		Keep	Keep	DVDs - Curriculum Collection	dcc	MacPhaidin Library		
