Legacy item status code	Legacy item status name	Unsuppresed Item Count	Suppressed Item Count	Action	FOLIO item status	Notes						
-	AVAILABLE	204,886	1223	Keep	Available							
o	LIB USE ONLY	46851	253	Keep	Restricted	Restricted maybe? (Change label to "library use only")	**Look into loan type 					FOLIO Statuses:
n	BILLED	304	295	Purge	Not migrating	This is system generated for when a bill is sent						Aged to Lost
l	LOST IN CIRC	51	6	Purge	Unavailable	Not migrating						Available
m	MISSING	36	11	Purge	Missing	Not migrating						Awaiting delivery 
a	IN STORAGE	36	588	Keep	Restricted	 						Awaiting pickup
$	LOST AND PAID	17	21	Purge	Lost and paid	Not migrating						Checked out
z	CLMS RETD	11	2	Purge	Claimed returned	Not migrating						Claimed returned
NULL	NULL	5	5	Purge		items with no status which is error						Declared lost
t	IN TRANSIT	3		Keep	In transit	Another system generated status that we don't really use						In process
s	ON SEARCH	3	23	Keep	Unavailable							In process (non-requestable)
c	IN CATALOGING	2	117	Keep	In process (non-requestable)							Intellectual item
d	DAMAGED	2		Keep	Restricted	"+ Damaged Condition"						In transit
												Lost and paid
												Missing
												On order
												Order closed
												Paged
												Unavailable
												Unknown
												Restricted
												Withdrawn 
