Legacy statistical code	Legacy statistical code description	Item count	Action to take	FOLIO item statistical codes 	FOLIO item statistical code names	Notes
ia	Architecture	11341	Keep	Arc	Architecture	
ib	Biography	7174	Keep	Bio	Biography	
ic	Children's (PZ&,&)	4497	Keep	Chi	Children's (PZ7s, &)	
if	Fiction	9280	Keep	Fic	Fiction	
ihi	History	11760	Keep	His	History	
il	Literature (Not Fiction)	3673	Keep	Lit	Literature (Essays, Lit. Crit., Drama, &)	
ix	Miscellaneous	5135	Keep	Mis	Miscellaneous	
iu	Music	599	Keep	Mus	Music	
im	Mysteries & Thrillers	3610	Keep	Mys	Mysteries & Thrillers	
ip	Philosphy, Religion, &	1088	Keep	Phi	Philosophy (Religion, Ethics, Logic, &)	
is	Science	1279	Keep	Sci	Science (Natural, Math, Medicine, &)	
iar	Art		New Type	Art	Art	
iba	Board Books 		New Type	Boa	Board Books	
ibo	Books About Books		New Type	Boo	Books About Books	
ico	Cookbooks		New Type	Coo	Cookbooks	
ig	Gardening 		New Type	Gar	Gardening/ Landscape Architecture	
ih	Historical Fiction		New Type	Hif	Historical Fiction	
iph	Photography		New Type	Pho	Photography	
ipi	Picture Books		New Type	Pic	Picture Books	
ipo	Poetry		New Type	Poe	Poetry	
ir	Romance Fiction		New Type	Rom	Romance Fiction/ Novels of Manners	
iss	Social Science		New Type	Soc	Social Science (Poly Sci, Education, Geography, Law,&)	
isp	Speculative Fiction		New Type	Spe	Spectulative/Science Fiction	
iy	Young Adult		New Type	You	Young Adult	
ie	Education, Govt, etc.	1260	Purge			
iz	Audio Book	197	Purge			
izc	Audio Book, Children's	28	Purge			
