Legacy Item Class Codes	Legacy Item Class Name	Folio material type name or ID	Notes
10	Book	Book	
11	Periodical	Periodical	
14	Reference	Reference	non-circulating loan type
15	Rare Book	Rare Book	
17	Pamphlet	Pamphlet	
18	Archive Material	Archive Material	
21	Juvenile	Juvenile	
12	Sant Mat Periodical	Sant Mat Periodical	
16	Bound Periodical	Bound Periodical	
13	Reference Desk	Reference Desk	non-circulating loan type
19	Maps	Maps	
20	Manuscript	Manuscript	
22	Photograph	Photograph	
23	Sound Recording	Sound Recording	
24	Compact Disc	Compact Disc	
25	DVD	DVD	
26	Sant Mat Periodical Bound	Sant Mat Periodical Bound	
1	Long Loan	Long Loan	
