Legacy item status	Item count	FOLIO item status	notes						
Unsuppressed items (as of 3/8/2024)									
Call Slip Request	0	Paged	Migrated manually						FOLIO Statuses:
Cataloging Review	7	Available	Migrate to "Available"						Aged to Lost
Charged	117	Checked Out	Migrate checkouts with circ data						Available
Circulation Review	1		Do not migrate						Awaiting delivery 
Claims Returned	4	Claimed Returned							Awaiting pickup
Damaged	41	Unavailable 	Migrate damaged as item condition						Checked out
Hold Request	14	Paged	Migrate holds with circ data						Claimed Returned
In Process	37	Available	Migrate to "Available," old status 						Declared lost
In Transit	1	In Transit							In process
In Transit Discharged	7	In Transit							In process (not requestable)
In Transit On Hold	5	In Transit							Intellectual item
Lost--Library Applied	5	Declared Lost							
Lost--System Applied	59	Aged to Lost	Billed items						In transit
Missing	379	Missing	Keep anything missing for 2 years or less 						Long missing
Not Charged	63,292	Available							Lost and paid
On Hold	29	Paged	Migrate holds with circ data						Missing
Overdue	62	Checked Out	Migrate checkouts with circ data						On order
Renewed	21	Checked Out	Migrate checkouts with circ data						Order closed
Withdrawn	34		Do not migrate unless checked out						Paged
									Unavailable
*Item status will be stored in the 949$s									Unknown
**Method for removing duplicate IDs https://superuser.com/questions/920276/remove-duplicate-rows-and-keep-newest-row-based-on-date-column									Restricted
									Withdrawn 
Suppressed items (as of 1/12/2024) - Purge all suppressed records									
Damaged	1								
Missing	1								
Not Charged 	259								
