Legacy item status	Item count	Action	FOLIO item status	Notes						
Claims Returned	2	Keep	Claimed returned							
Damaged	16	Keep	Available	Add "Damaged" Condition						FOLIO Statuses:
Lost -- System Applied	460	Keep	Aged to lost							Aged to Lost
Lost--Library Applied	54	Keep	Declared lost							Available
Missing	192	Keep	Missing							Awaiting delivery 
Not Charged	75,660	Keep	Available							Awaiting pickup
Cataloging Review	62	Merge	In process	Probably "In process"						Checked out
Charged	14	Merge	Checked out							Claimed Returned
Circulation Review	82	Merge	In process							Declared lost
In Process	32	Merge	In process 							In process
In Transit Discharged	13	Merge	In transit							In process (not requestable)
In Transit On Hold	4	Merge	In transit							Intellectual item
Overdue	46	Merge	Checked out							In transit
Renewed	12	Merge	Checked out							Lost and paid
Withdrawn	124	Purge								Missing
										On order
										Order closed
										Paged
										Unavailable
										Unknown
										Restricted
										Withdrawn 
