Legacy Code	Legacy Name	Count Perm (Unsuppressed)	Count Temp (Unsuppressed)	Count Perm (Suppressed)	Count Temp (Suppressed)	Perm Type (Unsuppressed)	Perm Type (Suppressed)	FOLIO Name	Notes
24hreserve	24 hour reserve		3			Keep	Keep	24 Hour Reserve	
35mm Cam	35 mm Camera	2				Keep	Keep	Camera	
3hreserve	3 hour reserve	6	361			Keep	Keep	3 Hour Reserve	
Archive	Archive	604		1		Keep	Keep	Archive	
Artist Bk	Artist Bk	549				Keep	Keep	Artist Bk	
Bk/CD-ROM	Bk/CD-ROM	103				Keep	Keep	Bk/CD-ROM	
Blu-ray	Blu-ray	107				Keep	Keep	Blu-ray	
Book	Book	89740		29		Keep	Keep	Book	
Book/CD	Book/CD	80				Keep	Keep	Book/CD	
Cassette	Cassette	37				Keep	Keep	Cassette	
CD	CD	82				Keep	Keep	CD	
DVD	DVD	2352		3		Keep	Keep	DVD	
DVD Player	DVD Player	2				Keep	Keep	DVD Player	
Film	Film	466		42		Keep	Keep	Film	
Folio	Folio	177				Keep	Keep	Folio	
Headphones	Headphones	7				Keep	Keep	Headphones	
ILL	ILL	2				Keep	Keep	ILL	
Kit	Kit	56				Keep	Keep	Kit	
Limited	Limited		331			Keep	Keep	Popular	Call number prefix "popular", eliana@flo.org alexis@flo.org We'd like to keep this as is. Let's call it Popular
NC DVD	NC DVD	269				Keep	Keep	Non-Circ DVD	
NC Video	NC Video	170		1		Keep	Keep	Non-Circ Video	
on-the-fly	on-the-fly	159				Keep	Keep	On-the-fly	
Realia	Realia	18				Keep	Keep	Realia	
Rec Player	Rec Player	1				Keep	Keep	Record Player	
Record	Record	692	1	2		Keep	Keep	Record	
Reference	Reference	611				Keep	Keep	Reference	
Serial	Serial	214				Keep	Keep	Serial	
Supplement	Supplement	20				Keep	Keep	Supplement	
Thesis	Thesis	287				Keep	Keep	Thesis	
Videotape	Videotape	451		60		Keep	Keep	Videotape	
AV	AV	3				Merge	Merge	Equipment	
Bk/DVD-ROM	Book/DVD-ROM	9				Merge	Merge	Book/DVD	
Book(NC)	Book(NC)	1				Merge	Merge	Book	
Book/DVD	Book/DVD	70		1		Merge	Merge	Book/DVD	
CD-ROM	CD-ROM	27				Merge	Merge	CD-ROM	
CDROM	CDROM	2				Merge	Merge	CD-ROM	
E-BOOK	E-BOOK	5				Merge	Merge	E-book	
E-Book	E-Book	12		1		Merge	Merge	E-book	
Equipment	Equipment	15		2		Merge	Merge	Equipment	
Kit(NC)	Kit(NC)	2				Merge	Merge	Kit	
NC Book	NC Book	2047		1		Merge	Merge	Book	Book
NC Book/CD	NC Book/CD	3				Merge	Merge	Book	
NC Cassett	NC Cassett	1				Merge	Merge	Cassette	
NC CD	NC CD	4				Merge	Merge	CD	
NC CD-ROM	NC CD-ROM	2				Merge	Merge	CD-ROM	
NC Film	NC Film	23				Merge	Merge	Film	
NC Kit	NC Kit	19				Merge	Merge	Kit	
NC Record	NC Record	12				Merge	Merge	Record	
On The Fly	On The Fly	4				Merge	Merge	On-the-fly	
On-The-Fly	On-The-Fly	1				Merge	Merge	On-the-fly	
On-the-fly	On-the-fly	3	1			Merge	Merge	On-the-fly	
OVERSIZED	OVERSIZED	1				Merge	Merge	Book	
VCR/VHS	VCR/VHS	7				Merge	Merge	Videotape	
AV o-t-fly	AV on-the-fly	1				Purge	Purge		
Batteries	Batteries	17				Purge	Purge		
Bk/Other	Bk/Other	1				Purge	Purge		
BookCirc	BookCirc		1			Purge	Purge		
DataPrjctr	Data Projector	5				Purge	Purge		
DigitalCam	DigitalCam	25				Purge	Purge		
DV Camera	DV Camera	12				Purge	Purge		
E-READER	E-READER	2				Purge	Purge		
Ext. Cord	Extension Cord	1				Purge	Purge		
FacDatProj	Data Projector--Faculty	1				Purge	Purge		
Index	Index	7				Purge	Purge		
Laptop	Laptop Computer	4				Purge	Purge		
Media Book	Media Book	1				Purge	Purge		
MICROFILM	MICROFILM	1				Purge	Purge		
Microfilm	Microfilm	2				Purge	Purge		
Microphone	Microphone	4				Purge	Purge		
MuseumPass	MuseumPass	13				Purge	Purge		
PASS	PASS	1				Purge	Purge		
Photocopy	Photocopy	64				Purge	Purge		
SldPrjctor	SldPrjctor	1				Purge	Purge		
Slide Tray	Slide Tray	2				Purge	Purge		
TakeupReel	TakeupReel	1				Purge	Purge		
TapeRecrdr	TapeRecrdr	4				Purge	Purge		
Tripod	Tripod	4				Purge	Purge		
TV	TV	4				Purge	Purge		
	Totals	99715	698	143	0				
