Legacy item status	Item count	Action	FOLIO item status	Notes							
Cataloging Review	95	Merge	Unavailable	Can these create a pop-up when item is returned or checked out							
Circulation Review	4	Merge	Unavailable	Can these create a pop-up when item is returned or checked out						FOLIO Statuses:	
Damaged	206	Merge	Available	In FOLIO this is a condition, not a status						Aged to Lost	 
Discharged	19	Merge	Available							Available	
Hold Request	13	Keep	Paged							Awaiting delivery 	
In Transit Discharged	7	Merge	In transit							Awaiting pickup	
In Transit On Hold	12	Merge	In transit							Checked out	
Lost--Library Applied	59	Keep	Declared Lost							Claimed Returned	
Lost -- System Applied	1078	Keep	Aged to Lost							Declared lost	
Missing	107	Keep	Missing							In process	
Not Charged	96,091	Merge	Available							In process (not requestable)	
Overdue	253	Merge	Checked Out							Intellectual item	
Recall Request	1	Merge	Checked Out							In transit	
Renewed	129	Merge	Checked Out							Lost and paid	
Withdrawn	19	Purge								Missing	
										On order	
										Order closed	
										Paged	
										Unavailable	
										Unknown	
										Restricted	
										Withdrawn 	
