Location Code	Location Name	Location Display Name	MFHD Perm Loc (Unsuppressed)	Item Perm Loc (Unsuppressed)	Item Temp Loc (Unsuppressed)	MFHD Perm Loc (Suppressed)	Item Perm Loc (Suppressed)	Item Temp Loc (Suppressed)	Unsuppressed	Suppressed	FOLIO Location Name (Staff Client)	FOLIO Location Code	Display Name (VuFind OPAC)	FOLIO service point	Note
MFA-02	MFA-02	MFA Art of Asia, Africa and Oceania Library	8,987	11,338	3	65	17		Keep	Keep	02	02	Art of Asia, 02	Circulation Desk	
MFA-02A	MFA-02A	MFA Art of Asia, Africa and Oceania Library, 02A	2,292	2,513		5	6		Keep	Keep	02A	02A	Art of India & Islamic Art, 02A	Circulation Desk	item 94850 perm loc "MCA-MAIN" and charged to MCA tech services
MFA-02B	MFA-02B	MFA Art of Asia, Africa and Oceania Library, 02B	1,238	1,249		2	1		Keep	Keep	02B	02B	Art of Africa & Oceania, 02B	Circulation Desk	
MFA-03	MFA-03	MFA Center for Netherlandish Art	19,707	22,593	6	546	408		Keep	Keep	03	03	Center for Netherlandish Art	Circulation Desk	
MFA-03R	MFA-03R	MFA Center for Netherlandish Art, Reading Room	2,084	2,618					Keep	Keep	03R	03R	Center for Netherlandish Art, Reading Room	Circulation Desk	
MFA-04	MFA-04	MFA Art of the Ancient World Library	6,513	6,882		9	9		Keep	Keep	04	04	Art of the Ancient World	Circulation Desk	
MFA-04A	MFA-04A	MFA Art of the Ancient World Library	1,003	1,004	1	2	2		Keep	Keep	04A	04A	Art of the Ancient World	Circulation Desk	
MFA-04B	MFA-04B	MFA Art of the Ancient World Library	9,303	9,665	70	10	5		Keep	Keep	04B	04B	Art of the Ancient World	Circulation Desk	
MFA-05	MFA-05	MFA Musical Instruments Library	1,966	1,971		6	2		Keep	Keep	05	05	Musical Instruments	Circulation Desk	
MFA-06	MFA-06	MFA Prints, Drawings and Photographs Library	7,702	8,026	1	120	20		Keep	Keep	06	06	Prints, Drawings, & Photographs	Circulation Desk	
MFA-07	MFA-07	MFA Paper Conservation Library	869	875		1			Keep	Keep	07	07	Paper Conservation	Circulation Desk	
MFA-08	MFA-08	MFA, Fashion, Textiles, and Jewelry Library	9,347	9,581		30	21		Keep	Keep	08	08	Fashion, Textiles, & Jewelry	Circulation Desk	
MFA-09	MFA-09	MFA Conservation & Collections Management Library	2,071	2,212		136	5		Keep	Keep	09	09	Conservation	Circulation Desk	
MFA-09A	MFA-09A	MFA Textile Conservation Library	236	230					Keep	Keep	09A	09A	Textile Conservation	Circulation Desk	
MFA-AB	MFA-AB	MFA Special Collections, Artists' Books	362	467		1	1		Keep	Keep	AB	AB	Artist's Book	Circulation Desk	
MFA-ARC	MFA-ARC	MFA Archive	24	49		32	32		Keep	Keep	ARC	ARC	Archive	Circulation Desk	
MFA-C	MFA-C	MFA Main Library, Special Collections	1,536	1,866	4	14	5		Keep	Keep	C	C	Special Collections	Circulation Desk	
MFA-CNA	MFA-CNA	MFA Center for Netherlandish Art	12,602	13,722		1,867	1,969		Keep	Keep	CNA	CNA	Center for Netherlandish Art	Circulation Desk	
MFA-DEP	MFA-DEP	MFA Off-site Book Depository	84,761	100,899	1	73	174		Keep	Keep	DEP	DEP	Off-site Depository	Circulation Desk	
MFA-ERESOU	MFA-ERESOU	MFA Electronic Collections	25						Keep	Keep	ERESOU	ERESOU	Electronic Collection	Circulation Desk	
MFA-MAIN	MFA-MAIN	MFA Main Library	88,205	92,564	39	1,228	162		Keep	Keep	MAIN	MAIN	Main Library	Circulation Desk	
MFA-REF	MFA-REF	MFA Main Library, Reference	2,378	2,902		56	52		Keep	Keep	REF	MAIN-REF	Main Reference	Circulation Desk	
MFA-REFM	MFA-REFM	MFA Main Library, Reference/Microform	175	230		4	4		Keep	Keep	REFM	REFM	Reference/Microform	Circulation Desk	
MFA-VF	MFA-VF	MFA Main Library, Vertical Files	132	133	27	3	2		Keep	Keep	VF	VF	Vertical File	Circulation Desk	
MFA-465	MFA-465	MFA 465							Keep	Keep	465	465	465	Circulation Desk	
MFA-PROV	MFA-PROV	MFA Provenance							Keep	Keep	PROV	PROV	Provenance	Circulation Desk	
MFA-ADA	zMFA-ADA do not use			2					Purge	Purge					
MFA-Circ	MFA-Circulation Desk	MFA Main Library, Reading Room				1	1		Purge	Purge				Circulation Desk	
MFA-CONS	zMFA-CONS Do not use			1					Purge	Purge					
MFA-DC	z MFA-DC do not use			13		1			Purge	Purge					
MFA-DE	zMFA-DE do not use			4					Purge	Purge					
MFA-DI	zMFA-DI do not use			1					Purge	Purge					
MFA-DJ	zMFA-DJ Do not use			6					Purge	Purge					
MFA-DMI	zMFA-DMI do not use			2					Purge	Purge					
MFA-DP	zMFA-DP do not use			1					Purge	Purge					
MFA-DPC	zMFA-DPC do not use			1					Purge	Purge					
MFA-DT	zMFA-DT do not use			7			1		Purge	Purge					
MFA-SCH-C	MFA-SCH-C			1					Purge	Purge					
MFA-Stor	MFA-Storage	MFA Offsite Storage	4	11		1			Purge	Purge					
	Totals		263,518	293,628	0	4,212	2,899	0							
