Legacy Code	Legacy Name	Count Perm (Unsuppressed)	Count Temp (Unsuppressed)	Count Perm (Suppressed)	Count Temp (Suppressed)	Perm Type (Unsuppressed)	Perm Type (Suppressed)	FOLIO Name	Notes
Archive	Archive	1		32		Keep	Keep	Archive	
Artist Bk	Artist Bk	451		1		Keep	Keep	Artist's Book	
AuctionCat	Auction Catalog	64814		24		Keep	Keep	Auction Catalog	
Book	Book	214593	11	2744		Keep	Keep	Book	
CD-ROM	CD-ROM	62		19		Keep	Keep	CD-ROM	
DVD	DVD	37		13		Keep	Keep	DVD	
Microfiche	Microfiche	5				Keep	Keep	Microfiche	
Microfilm	Microfilm	12				Keep	Keep	Microfilm	
Microform	Microform	220				Keep	Keep	Microform	
Folio	Folio	112				Keep	Keep	Folio	
PERIODICAL	PERIODICAL	1				Purge	Purge		
Vert. File	Vert. File	12804		4		Keep	Keep	Vertical File	
Videotape	Videotape	17		21		Keep	Keep	Videotape	
Book	Book	214593	11	2744		Keep	Keep	Book	
Non-Circ.	Non-Circ.	1087	4	5		Keep	Keep	Non-Circ.	
	Totals	508,809	26	5,607	0				
