Legacy Code	Legacy Name	Count Perm (Unsuppressed)	Count Temp (Unsuppressed)	Count Perm (Suppressed)	Count Temp (Suppressed)	Perm Type (Unsuppressed)	Perm Type (Suppressed)	FOLIO Name	Notes
Access	Accessories	28				Keep	Keep	Accessories	
Archive	Archive	1562				Keep	Keep	Archive	Change to Archives?
AV	AV	932				Keep	Keep	AV	
Book	Book	22302		7		Keep	Keep	Book	
Cassette	Cassette	225				Keep	Keep	Cassette	
CD	CD	22647				Keep	Keep	CD	
Conct CD	Conct CD	4079				Keep	Keep	Concert CD	
Conct Tape	Conct Tape	4546		1		Keep	Keep	Concert Tape	
Exhibit	Exhibit	3				Keep	Keep	Exhibit	Unsure
In-Lib Use	In-Library Use Only	456				Keep	Keep	In-Library Use Only	
Mini-Score	Mini-Score	5698		2		Keep	Keep	Mini-Score	
Music	Music	49261		9		Keep	Keep	Music	
Non-Circ.	Non-Circ.	21303		1		Keep	Keep	Non-Circ.	
Office	Office	989				Keep	Keep	Office	
Online	Online					New Type	New Type	Online	Alexis note--need this for the 852$z issue on the vufind issue tracker
Rare	Rare	9269		2		Keep	Keep	Rare	
Record	Record	21014				Keep	Keep	Record	
Reference	Reference	3747				Keep	Keep	Reference	
Video Disc	Video Disc	1847				Keep	Keep	Video Disc	
Videotape	Videotape	1324				Keep	Keep	Videotape	
3hreserve	3hreserve		177			Purge	Purge		Unsure if needed
	Totals	171,232	177	22	0				
									
Note: Counts updated as of 1/31/2025									
