Legacy item status	FOLIO item status	notes
At Bindery	Unavailable	Only 2 items--hoping to have resolved before prod migration
Charged	Checked out	We are hoping to have checked out and overdue items reconciled by prod migration
In Process	In process	
In Transit Discharged	In transit	
In Transit On Hold	In transit	
Lost--Library Applied	N/A	Not migrating items w/ lost status
Lost--System Applied	N/A	Not migrating items w/ lost status
Missing	Missing	
Not Charged	Available	
Overdue	N/A	We are hoping to have checked out and overdue items reconciled by prod migration
