ITEM_TYPE_ID	ITEM_TYPE_CODE	ITEM_TYPE_NAME	ITEM_TYPE_DISPLAY	Folio material type name or ID	Loan Type	Notes
27	MODEL	ANATOMICAL MODEL	ANATOMICAL MODEL	anatomical model 	Standard	
2	BOOK-CIRC	BOOK-CIRC	BOOK-CIRC	book	Standard	
6	BOOK-RES	BOOK-RES	BOOK-RES	book - reserve	Standard	
10	MONOSERIAL	MONOSERIAL	MONOSERIAL	book	Standard	
16	RESERVE1HR	RESERVE 1 HOUR	RESERVE 1 HOUR	book	Standard	
35	CALCULATOR	CALCULATOR	CALCULATOR	equipment 	Standard	
19	CHARGERS	CHARGERS	CHARGERS	equipment 	Standard	
20	EQUIPMENT	EQUIPMENT	EQUIPMENT	equipment 	Standard	
32	HEADPHONES	HEADPHONES	HEADPHONES	equipment 	Standard	
42	HOTSPOT	HOTSPOT TERM LOAN	HOTSPOT TERM LOAN	equipment 	Standard	
28	KEY CARD	KEY CARD	KEY CARD	equipment 	Standard	
31	LAPTOP	LAPTOP	LAPTOP	laptop	Standard	
41	LAPTOPSTAN	LAPTOP STAND	LAPTOP STAND	equipment 	Standard	
21	MEDIACARD	MEDIA BK CARD	MEDIA BOOK CARD	equipment 	Standard	
30	MOUSE	MOUSE DEVICE	MOUSE DEVICE	equipment 	Standard	
36	PROJECTOR	PROJECTOR	PROJECTOR	equipment 	Standard	
26	STUDY ROOM	STUDY ROOM KIT	STUDY ROOM KIT	equipment 	Standard	
37	TABLET	TABLET	TABLET	equipment 	Standard	
14	TAPERECORD	TAPE RECORDER	Tape Recorder	equipment 	Standard	
40	THERAPYLAM	THERAPY LAMPS	THERAPY LAMPS	equipment 	Standard	
39	WAND-5DAY	ULTRASOUND WANDS - 5 DAY	ULTRASOUND WANDS - 5 DAY	equipment 	Standard	
38	WATCH	WATCH	WATCH	equipment 	Standard	
34	WHITEBOARD	WHITEBOARD-PERSONAL	WHITEBOARD-PERSONAL	equipment 	Standard	
29	TOGGLE	TOGGLE-PSY	TOGGLE-PSY	equipment 	Standard	
5	PERIODICAL	PERIODICAL	PERIODICAL	journal	Standard	
24	AV 30 DAY	AV 30 DAY LOAN	AV 30 DAY LOAN	a/v 	Standard	
15	AV 4 DAYS	AV 4-7 DAY LOAN	AV 4 -7 DAY LOAN	a/v 	Standard	
22	CD-RES-HRS	CD-RESERVE 4 HOURS	CD-RESERVE 4 HOURS	a/v 	Standard	
9	CDROM-1	CDROM-1DAY	CDROM-1 DAY	a/v 	Standard	
17	CDROM-2	CDROM-2DAY	CDROM-2 DAYS	a/v 	Standard	
3	NOCIRC	NOCIRC	NOCIRC	mixed	Standard	 (some are books on reserve, and some are theses/diss, reference)
12	AV RES SL	AV RES SLIDE	AV RESERVE SLIDE	slide 	Standard	
11	AV SLIDE	AV SLIDE	AV SLIDE	slide 	Standard	
23	AUDIO_CD	AUDIO_CD	AUDIO_CD	sound recording	Standard	
7	AUDCASS	AUDIOCASS	AUDIOCASSETTE	sound recording	Standard	
4	AV RES VID	AV RES VID	AV RESERVE VIDEO	video recording	Standard	
8	AV VIDEO	AV VIDEO	AV VIDEO	video recording	Standard	
44			LAPTOP - TESTING	laptop	Standard	
43			SMARTBOARD PENS KIT	equipment 	Standard	
33			EZBITEM	ezb item	Standard	
14	RECORDER	RECORDER	AUDIO RECORDER	equipment 	Standard	
36	PROJECTOR	RECORDER	RECORDER	equipment 	Standard	
