Legacy location code	Folio location code	Folio label (optional)	Folio service point
Main	Main	Phillips Library Stacks	
Vault	Main	Phillips Library Stacks	
CHN-Vault	China	China Ward Collection	
ESSX-Vault	Essex	Essex County Collection	
BRS-Vault	Broadsides	Broadsides	
Attic			
Plummer			
Reading R.	ReadingRoom	Reading Room	
Micro	Micro	Microfilm	
Map	Maps	Maps	
Ropes	Ropes	Ropes Mansion	
Ward	Ward	John Ward House	
CRT	Cartoons	Cartoons	
LYNN MAN	Lynn	Lynn	
Online	Online	Online	
Lib-Off	RefShelf	Library Reference Shelf	
LYNN	Lynn	Lynn	
CDC			
test1			
QUA	Quarantine	Quarantine	
FRE	ColdStorage	ColdStorage	
PHO	ColdStorage	ColdStorage	
SC			
Fireproof	Fireproof	Fireproof Cabinet	
Room146	Room146	Museum Storage (Room146)	
ArmoryBase	Armory	Museum Storage (Armory)	
Room154	MS2	Museum Storage (MS2)	
