ID	Field =001	Aleph System ID (HRID)	Field =035 / OCLC	Title	Notes																																										
1	ocm02924022 	14381	2924022	Studies in iconography.																																											
2	ocm25733080 	18966	25733080	Quarante-huit/quatorze.																																											
3	ocm05514042 	28256	5514042	A biographical and critical dictionary of painters and engravers : with a list of ciphers, monograms, and marks / by Michael Bryan.																																											
4	ocm00881469 	33496	881469	The Dial and the Dial Collection. Worcester Art Museum, Worcester, Massachusetts, April 30-September 8, 1959.																																											
5	ocm01588892 	34670	1588892	Acquisitions / Fogg Art Museum.																																				8							
6	ocm02579071 	34682	2579071	Annual exhibition / National Academy of Design.																																											
7	ocm01022853 	38464	1022853	Berlin and its environs; handbook for travellers, by Karl Baedeker, with 30 maps and plans.																																											
8	ocm03558036 	38794	3558036	The eastern Alps, including the Bavarian highlands, Tyrol, Salzburg, upper and lower Austria, Styria, Carinthia, and Carniola : Handbook for travellers / by Karl Baedeker ; With 34 maps, 9 plans, and 7 panoramas.																																											
9	ocm01279994 	38865	1279994	Northern Bavaria, handbook for travellers.																																											
10	ocm01648592 	38867	1648592	The Rhine, including the Black Forest & the Vosges; handbook for travellers, by Karl Baedeker; with 69 maps and 59 plans.																																											
11	ocm01328163 	39096	1328163	Russia, with Teheran, Port Arthur, and Peking; handbook for travellers by Karl Baedeker; with 40 maps and 78 plans.																																											
12	ocm01695706 	40653	1695706	Journal of the North China Branch of the Royal Asiatic Society.																																											
13	ocm08315110 	41627	8315110	Historic Philadelphia number.																																											
14	ocm15298652 	42912	15298652	Manifestations of Shiva : exhibition guide : Philadelphia Museum of Art, March 29 to June 7, 1981.																																											
15	ocm01604168 	48659	1604168	Annuaire des ventes de tableaux, dessins, aquarelles, pastels, gouaches, miniatures; guide du marchand, de l'amateur.																																											
16	ocn256488318 	48975	256488318 	Art at auction.																																											
17	ocm05329729 	49559	05329729 	Kokuritsu seiyo bijutsukan nenpo = Bulletin annuel du Musee national d'art occidental.																																											
18	ocm48215403 	49651	48215403 	Art review international.																																											
19	ocm19969570 	49666	19969570 	Arta plastica; revista editata de comitetul de stat pentru cultura si arta si uniunea artistilor plastici.																																											
20	ocm01514361 	49764	01514361 	Artist's proof.																																											
21	ocm09261496 	49723	09261496 	Berliner Museen : Berichte aus den preuszischen Kunstsammlungen.																																											
22	ocm55550986 	49737	55550986 	Blok : casopis pro umeni.																																											
23	ocm07937326 	49741	07937326 	Boletin del Museo del Prado.																																											
24	ocn229903591 	49744	229903591 	Il Milione; bollettino della Galleria del Milione.																																											
25	ocm01642685 	49806	01642685 	Bulletin of Rhode Island School of Design. Museum notes.																																											
26	ocm01554906 	49819	01554906 	The bulletin of the Cleveland Museum of Art.																																											
27	ocm05766498 	49825	05766498 	Museum of Fine Arts bulletin.																																											
28	ocm01586434 	49888	01586434 	Colour.																																											
29	ocm06414213 	49895	06414213 	Plaisir de France.																																											
30	ocm01714654 	49903	01714654 	Kunstmuseets aarsskrift.																																											
31	ocm01554694 	49937	01554694 	Der Cicerone : halbmonatsschrift fur kunstler, kunstfreunde und sammler.																																											
32	ocm10836452 	49943	10836452 	Design issues.																																											
