Legacy location code	Library	Folio location code	Folio name	Discovery display name	Folio service point (name)
archv	ul	ul/asc/uarch	UL A&SC University Archives	University Library Archives & Special Collections - University Archives, 3rd Floor	ulasc
ars04	ul	ul/ars/ascrareb	UL ARS A&SC Rare Books	University Library Archives & Special Collections - Rare Books, 3rd Floor	ulars
ars08	ul	ul/ars/ascrc	UL ARS A&SC Research Collection	University Library Archives & Special Collections - Research Collection, 3rd Floor	ulars
ars20	ul	ul/ars/asccl	UL ARS A&SC College Library	University Library Archives & Special Collections - College Library, 3rd Floor	ulars
ars22	ul	ul/ars/ascphoto	UL ARS A&SC Photograph Collection	University Library Archives & Special Collections - Photographs, 3rd Floor	ulars
ars24	ul	ul/ars/ascurec	UL ARS A&SC University Records	University Library Archives & Special Collections - University Records, 3rd Floor	ulars
ars26	ul	ul/ars/aschr	UL ARS A&SC History Reference	University Library Archives & Special Collections - History Reference	ulars
ars27	ul	ul/ars/ascfp	UL ARS A&SC Faculty Pubs	University Library Archives & Special Collections - Faculty Publications, 3rd Floor	ulars
ars29	ul	ul/ars/ascmedia	UL ARS A&SC Multimedia	University Library Archives & Special Collections - Multimedia, 3rd Floor	ulars
ars31	ul	ul/ars/ascmpp	UL ARS A&SC Manuscripts & Personal Papers	University Library Archives & Special Collections - Manuscripts & Personal Papers, 3rd Floor	ulars
ars32	ul	ul/ars/asclh	UL ARS A&SC Local History	University Library Archives & Special Collections - Local History, 3rd Floor	ulars
ars33	ul	ul/ars/ascupub	UL ARS A&SC University Pubs	University Library Archives & Special Collections - University Publications, 3rd Floor	ulars
arsad	ul	ul/ars/audio	UL ARS Audio Collection	University Library ARS Audio Collection	ulars
arsca	ul	ul/ars/asccal	UL ARS A&SC California Collection	University Library Archives & Special Collections - California Collection, 3rd Floor	ulars
arscd	ul	ul/ars/compd	UL ARS Computer Data Files	University Library ARS Computer Data Files Collection	ulars
arscr	ul	ul/ars/cur	UL ARS Curriculum Collection	University Library ARS Curriculum Collection	ulars
arsgc	ul	ul/ars/gvdca	UL ARS Gov Docs California	University Library ARS Government Documents - California	ulars
arsgd	ul	ul/ars/gvd	UL ARS Gov Docs	University Library ARS Government Documents	ulars
arsgt	ul	ul/ars/gtu	UL ARS Graduate Theological Union	University Library ARS Graduate Theological Union Collection	ulars
arslw	ll	ll/ars/law	LL ARS	Law Library ARS	ulars
arsmc	ul	ul/ars/micro	UL ARS Microforms	University Library ARS Microforms	ulars
arsms	ul	ul/ars/mns	UL ARS Main Stacks	University Library ARS Main Stacks	ulars
arspr	ul	ul/ars/per	UL ARS Bound Periodicals	University Library ARS Bound Periodicals	ulars
arsrb	ul	ul/ars/ascrareb	UL ARS A&SC Rare Books	University Library Archives & Special Collections - Rare Books, 3rd Floor	ulars
arsrf	ul	ul/ars/ref	UL ARS Reference Collection	University Library ARS Reference Collection	ulars
arsrv	ul	ul/ars/rsrv	UL ARS Course Reserves	University Library ARS Course Reserves	ulars
arsst	ul	ul/ars/ascsth	UL ARS A&SC Senior Theses	University Library Archives & Special Collections - Senior Theses, 3rd Floor	ulars
arsth	ul	ul/ars/ascthe	UL ARS A&SC SCU Theses	University Library Archives & Special Collections - SCU Theses, 3rd Floor	ulars
arsvd	ul	ul/ars/video	UL ARS Video Collection	University Library ARS Video Collection	ulars
calif	ul	ul/asc/cal	UL A&SC California Collection	University Library Archives & Special Collections - California Collection, 3rd Floor	ulasc
circ	ul	ul/ads/compd	UL Computer Data Files	University Library Computer Data Files Collection	ulhelpdesk
curr	ul	ul/cur	UL Curriculum Collection	University Library Curriculum Collection, 2nd Floor	ulhelpdesk
doc	ul	ul/gvd/lwrlvl	UL Gov Docs, Lower Level	University Library Government Documents, Lower Level	ulhelpdesk
fiche	ul	ul/micro/fiche	UL Microfiche	University Library Microforms, 3rd Floor	ulhelpdesk
folio	ul	ul/main/folio	UL Folios	University Library Folios, 3rd Floor	ulhelpdesk
gdcal	ul	ul/gvd/cal	UL Gov Docs California	University Library Government Documents - California	ulhelpdesk
gdref	ul	ul/gvd/ref	UL Gov Docs Reference	University Library Government Documents - Reference, Lower Level	ulhelpdesk
