Legacy material type code (from item record)		Folio material type name or ID	Legacy material type label		Legacy notes	Record Count
Itype (61)	Shelving Location (79)		ITYPE Label (61)	Shelving Location Label (79)		
0	arscr	book	Circulating	University Library ARS Curriculum Collection		6819
0	arsgc	government document	Circulating	University Library ARS Government Documents - California		178
0	arsgd	government document	Circulating	University Library ARS Government Documents		2959
0	arsms	book	Circulating	University Library ARS Main Stacks		425023
0	arsrf	book	Circulating	University Library ARS Reference Collection		3949
0	hchar	book	Circulating	Law Charney Hall		9832
0	hcirc	book	Circulating	Law Circulation Desk		11
0	hfol	book	Circulating	Law Folio		315
0	hloy	book	Circulating	Law Remote Storage		8
0	hroff	book	Circulating	Law Reference Desk		1
0	hstac	book	Circulating	Law Stacks		319
0	hstau	book	Circulating	Law Reserve Room		13
0	ucrst	book	Circulating	University Library Curriculum Collection, 2nd Floor		2519
0	ugdar	government document	Circulating	University Library ARS Government Documents		14482
0	ugdca	government document	Circulating	University Library Government Documents - California		100
0	ugdll	government document	Circulating	University Library Government Documents, Lower Level		24004
0	ugdmi	microform	Circulating	University Library Government Documents - Microforms, 3rd Floor		421
0	umnfo	book	Circulating	University Library Folios, 3rd Floor		19910
0	umnst	book	Circulating	University Library Main Stacks, Lower Level		128474
0	urfll	book	Circulating	University Library Reference, Lower Level		8
1	ars04	book	Non-Circulating	University Library Archives & Special Collections, 3rd Floor		6
1	ars08	book	Non-Circulating	University Library ARS Research Collection		1311
1	ars20	book	Non-Circulating	University Library Archives & Special Collections - College Library, 3rd Floor		75
1	ars22	graphical material	Non-Circulating	University Library Archives & Special Collections - Photographs, 3rd Floor		13
1	ars24	archival material	Non-Circulating	University Library Archives & Special Collections - University Records, 3rd Floor	Reports, personal papers, etc.	1138
1	ars26	book	Non-Circulating	University Library Archives & Special Collections - History Reference		18
1	ars27	book	Non-Circulating	University Library Archives & Special Collections - Faculty Publications, 3rd Floor		244
1	ars31	manuscript	Non-Circulating	University Library Archives & Special Collections - Manuscripts & Personal Papers, 3rd Floor		325
1	ars32	book	Non-Circulating	University Library Archives & Special Collections - Local History, 3rd Floor		31
1	ars33	archival material	Non-Circulating	University Library Archives & Special Collections - University Publications, 3rd Floor	Some monographs, but mostly serials	21
1	arsca	book	Non-Circulating	University Library Archives & Special Collections - California Collection, 3rd Floor		108
1	arsgd	government document	Non-Circulating	University Library ARS Government Documents		23
1	arslw	book	Non-Circulating	Law Remote Storage (ARS)		4014
1	arsmc	microform	Non-Circulating	University Library ARS Microforms		29790
1	arsms	book	Non-Circulating	University Library ARS Main Stacks		3419
1	arsrb	book	Non-Circulating	University Library Archives & Special Collections, 3rd Floor (ARS)		5430
1	arsrf	book	Non-Circulating	University Library ARS Reference Collection		11796
1	arsst	book	Non-Circulating	University Library Archives & Special Collections - Senior Theses, 3rd Floor		1341
1	arsth	book	Non-Circulating	University Library Archives & Special Collections - SCU Theses, 3rd Floor		992
1	hcal	book	Non-Circulating	Law California Collection		777
