11	browsing
14	browsing books on cd
13	browsing games
15	browsing graphic novels
12	browsing media
51	carrel key
16	circulating media
1	core
2	core 1 day
3	core media
4	core noncirculating
43	electronic
52	electronic equipment 4 hr
41	gov doc
42	gov doc noncirculating
44	microform
45	microform noncirculating
8	periodical 
9	periodical unbound isu
60	problem
31	reference desk
33	reference noncirculating
32	reference stacks
21	reserve
25	reserve 1 day
28	reserve 2 day
22	reserve 2 hr
26	reserve 3 day
23	reserve 4 hr
27	reserve 7 day
29	reserve 70 day
34	special 
35	special restricted
