s	SMWC	SMWC Main Collection
sab	SMWC Archives	SMWC Special Collections and Archives
sbdc	SMWC Browsing DVDs	SMWC Media Collection
scb	SMWC Cataloging	SMWC Main Collection
sdbr	SMWC Reference	SMWC Main Collection
sdbt	SMWC Main Desk	SMWC Main Collection
sfb	SMWC Folios	SMWC Oversize Collection
sgb	SMWC Graphic Novels	SMWC Fiction Collection
sib	SMWC Indiana Collection	SMWC Main Collection
siz	SMWC Problem	SMWC Main Collection
sjb	SMWC Law Collection	SMWC Main Collection
slb	SMWC Leased Collection	SMWC Main Collection
sma	SMWC Media Collection	SMWC Media Collection
smab	SM Audio Books	SMWC Media Collection
smb	Saint Mary-of-the-Woods	SMWC Main Collection
smbaf	SMWC Adult Fiction	SMWC Fiction Collection
smbcf	SMWC Children's Fiction (Education Department	SMWC Children's Fiction Collection
smbcn	SMWC Children's Non-Fiction (Education Department)	SMWC Children's Non-Fiction Collection
smbo	SMWC Oversize	SMWC Oversize Collection
smp	SMWC Periodicals	SMWC Main Collection
sms	SMWC Music Collection	SMWC Main Collection
srb	SMWC Rare Books	SMWC Special Collections and Archives
stb	SMWC Atlas	SMWC Main Collection
