Horizon Fund	FOLIO fund	Used for
BCDA	BCDA	Adult Books on CD
BCDJ	BCDJ	Youth Books on CD
BOND	n/a	
BONDDL	BEAU	Bond eaudio
BONDEB	BEBK	Bond ebooks
BRA	BRAD	Adult Blu-ray
BRJ	BRJU	Youth Blu-ray
CONTCIR	CONT	FOD continuations
CONTREF	CONT	FOD continuations
DOWAUD	EAUDIO	digital audio (music, downloadable audiobooks)
DVDA	DVDA	Adult DVDs
DVDJ	DVDJ	Youth DVDs
EBOOK	EBOOK	Ebook platform
ELECT	ELECT	Databases
FDN	n/a	
FORN	FORN	Foreign materials
GRAPH	GRAPH	Graphic novels
LEASEP	LEASE	Lease Plan
LOT	LOT	Library of Things
LT	LT	Large Type
MICRO	MICRO	Microform
MUSA	MUSA	Adult music
MUSJ	MUSJ	Youth Music
PER	PER	Periodicals (physical & digital)
PRTA	PRTA	Adult print
PRTJ	PRTJ	Youth Print
PRTREF	PRTREF	Reference & NW room
SHIP	SHIP 	Shipping & Handling
sps	SPS	School materials
STAR	LD	Lucky Day
STREAM	STREAM	Streaming services (ie hoopla and Kanopy)
TAX	TAXSPL & TAXSPS	Wa St Sales tax
m2007	m2007 
m2008	m2008 
m2009	m2009 
m2010	m2010 
m2011	m2011 
m2012	m2012 
m2013	m2013 
m2014	m2014 
m2015	m2015 
m2016	m2016 
m2017	m2017 
m2018	m2018 
m2019	m2019 
m2020	m2020 
m2021	m2021 
