Legacy library	Legacy location code	Suppressed in discovery?	Folio location code	Folio label (optional)	Folio service point
PECAN	CATALOGING	YES	ALL-TECHSERV	Technical Services	TECHSERV
MIDVALLEY	CLE	YES	MV-CLE	Mid-Valley CLE	MVCLE
NURSING	CLE	YES	NAH-CLE	NAH CLE	NAHCLE
PECAN	CLE	YES	PCN-CLE	Pecan CLE	PCNCLE
PHARR	CLE	YES	RCPSE-CLE	RCPSE CLE	RCPSECLE
RIO_GRANDE	CLE	YES	STR-CLE	Starr County CLE	STRCLE
TECHLIB	CLE	YES	TECH-CLE	Technology CLE	TECHCLE
MIDVALLEY	DISPLAY		MV-DISPLAY	Mid-Valley Displays	MVLIB
NURSING	DISPLAY		NAH-DISPLAY	NAH Displays	NAHLIB
PECAN	DISPLAY		PCN-DISPLAY	Pecan Displays	PCNLIB
RIO_GRANDE	DISPLAY		STR-DISPLAY	Starr County Displays	STRLIB
TECHLIB	DISPLAY		TECH-DISPLAY	Technology Displays	TECHLIB
PECAN	ILL	YES	ALL-ILL	Interlibrary Loan	ILL
MIDVALLEY	JUVENILE		MV-JUV	Mid-Valley Juvenile Collection	MVLIB
RIO_GRANDE	JUVENILE		STR-JUV	Starr County Juvenile Collection	STRLIB
RIO_GRANDE	JUV-OVER		STR-JUVOVER	Starr County Juvenile Oversized Collection	STRLIB
MIDVALLEY	NEW-AV, NEW-CIRC, NEW-JUV, NEW-JUVOVR, NEW-OVER		MV-NEW	Mid-Valley New Collection	MVLIB
NURSING	NEW-AV, NEW-CIRC, NEW-JUV, NEW-JUVOVR, NEW-OVER		NAH-NEW	NAH New Collection	NAHLIB
PECAN	NEW-AV, NEW-CIRC, NEW-JUV, NEW-JUVOVR, NEW-OVER		PCN-NEW	Pecan New Collection	PCNLIB
RIO_GRANDE	NEW-AV, NEW-CIRC, NEW-JUV, NEW-JUVOVR, NEW-OVER		STR-NEW	Starr County New Collection	STRLIB
TECHLIB	NEW-AV, NEW-CIRC, NEW-JUV, NEW-JUVOVR, NEW-OVER		TECH-NEW	Technology New Collection	TECHLIB
MIDVALLEY	ON-SHELF		MV-GENERAL	Mid-Valley General Collection	MVLIB
NURSING	ON-SHELF		NAH-GENERAL	NAH General Collection	NAHLIB
PECAN	ON-SHELF		PCN-GENERAL	Pecan General Collection	PCNLIB
PHARR	ON-SHELF		RCPSE-GENERAL	RCPSE General Collection	RCPSELIB
RIO_GRANDE	ON-SHELF		STR-GENERAL	Starr County General Collection	STRLIB
TECHLIB	ON-SHELF		TECH-GENERAL	Technology General Collection	TECHLIB
PECAN	ONLINE		ALL-ONLINE	Online Collection	ONLINE
MIDVALLEY	OPENLABS	YES	MV-LAB	Mid-Valley Open Lab	MVLAB
NURSING	OPENLABS	YES	NAH-LAB	NAH Open Lab	NAHLAB
PECAN	OPENLABS	YES	PCN-LAB	Pecan Open Lab	PCNLAB
PHARR	OPENLABS	YES	RCPSE-LAB	RCPSE Open Lab	RCPSELAB
RIO_GRANDE	OPENLABS	YES	STR-LAB	Starr County Open Lab	STRLAB
TECHLIB	OPENLABS	YES	TECH-LAB	Technology Open Lab	TECHLAB
MIDVALLEY	OVERSIZED		MV-OVER	Mid-Valley Oversized Collection	MVLIB
RIO_GRANDE	OVERSIZED		STR-OVER	Starr County Oversized Collection	STRLIB
TECHLIB	OVERSIZED		TECH-OVER	Technology Oversized Collection	TECHLIB
MIDVALLEY	MVC-CIRC		MV-MAIN	Mid-Valley Main Desk	MVLIB
NURSING	NUR-CIRC		NAH-MAIN	NAH Main Desk	NAHLIB
PECAN	PECAN-CIRC		PCN-MAIN	Pecan Main Desk	PCNLIB
PHARR	RCPSE-CIRC		RCPSE-MAIN	RCPSE Main Desk	RCPSELIB
RIO_GRANDE	STARR-CIRC		STR-MAIN	Starr County Main Desk	STRLIB
TECHLIB	TECH-CIRC		TECH-MAIN	Technology Main Desk	TECHLIB
MIDVALLEY	MVC-RSV	YES	MV-RSV	Mid-Valley Course Reserves	MVLIB
NURSING	NUR-RSV	YES	NAH-RSV	NAH Course Reserves	NAHLIB
PECAN	PECAN-RSV	YES	PCN-RSV	Pecan Course Reserves	PCNLIB
PHARR	RCPSE-RSV	YES	RCPSE-RSV	RCPSE Course Reserves	RCPSELIB
RIO_GRANDE	STARR-RSV	YES	STR-RSV	Starr County Course Reserves	STRLIB
TECHLIB	TECH-RSV	YES	TECH-RSV	Technology Course Reserves	TECHLIB
PECAN	PECAN-2ND		PCN-2ND	Pecan 2nd Floor	PCNLIB
MIDVALLEY	REFREADY		MV-SILENT	Mid-Valley Silent Study Room	MVLIB
NURSING	REFREADY		NAH-SILENT	NAH Silent Study Room	NAHLIB
RIO_GRANDE	REFREADY		STR-SILENT	Starr County Silent Study Room	STRLIB
MIDVALLEY	SERIALS		MV-SERIAL	Mid-Valley Serial Collection	MVLIB
NURSING	SERIALS		NAH-SERIAL	NAH Serial Collection	NAHLIB
PECAN	SERIALS		PCN-SERIAL	Pecan Serial Collection	PCNLIB
RIO_GRANDE	SERIALS		STR-SERIAL	Starr County Serial Collection	STRLIB
TECHLIB	SERIALS		TECH-SERIAL	Technology Serial Collection	TECHLIB
MIDVALLEY	SPEC-COLL		MV-SPECIAL	Mid-Valley Special Collection	MVLIB
PECAN	SPEC-COLL		PCN-SPECIAL	Pecan Special Collection	PCNLIB
PECAN	STORAGE	YES	ALL-STORAGE	Storage	STOR
