Legacy location code	852$d	Folio location code	Folio label (optional)	Folio service point
Fiction		Fiction		
Lending Laptop Chargers		Laptop Chargers		
Laptop Chargers		Laptop Chargers		
Laptop Reserves		Laptop Reserves		
Lending Laptop		Lending Laptops		
Non-Fiction		Non-Fiction		
Oversize		Non-Fiction		
Juvenile Easy Reading		Non-Fiction		
University Collection	Fiction	Fiction		
University Collection	Non-Fiction	Non-Fiction		
Graduate Dissertations/Theses		Non-Fiction		
PA Laptop Cabinet		PA Laptop Cabinet		
PA Laptop Chargers		PA Laptop Chargers		
Podcast Studio		Podcast Studio		
Reserves		Course Reserves		
Tech Reserves		Tech Reserves		
Cabinet G		Tech Reserves		
Cabinet D		Tech Reserves		
Cabinet H		Tech Reserves		
HOTSPOTS		Tech Reserves		
VGA Adapter Bin		VGA Adapter Bin		
Reserves - Overnight		Reserves		
Reserves - Semester		Reserves		
SLP		SLP Office		
				
				
				
Saint Elizabeth - MLBasement Control Room		Podcast Studio		
The Hub - Cabinet 4		Podcast Studio		
EOF		Podcast Studio		
HUBB		Podcast Studio		
