10000	Manuscript Collection	10000	Manuscripts
10001	Downs Reference	40005	Reference
20000	Photograph Collection	20000	DAPC
20001	Brass Dial Clocks	20000	DAPC
20002	Boston Furniture	n/a	n/a
30000	Archives	30000	Archives
40000	Main	40001	Circulating
40001	Circulating Collection	40001	Circulating
40002	Rare Book Stacks	40002	Rare Book Stacks
40003	Trade Catalogs	40003	Trade Catalogs
40004	Rare Book Reference	40004	Rare Book Reference
40005	Reference	40005	Reference
40006	Reprint Shelf	n/a	n/a
40007	Periodical Reading Room	40007	Periodical Reading Room
40008	Museum Rooms	40008	Museum Rooms
40009	Memorial Library	40009	Memorial Library
40010	Odessa	n/a	n/a
40011	Auction Catalogs	40011	Auction & Dealer Catalogs
40012	Technical Library	n/a	n/a
40013	No location found'--deleted?	n/a	n/a
40014	Bound Periodicals	40014	Periodical Stacks
40015	Microform	40015	Microform
40016	Technical Services	n/a	n/a
40017	Annex 	40017	Annex 
50000	Shaker Collection	50000	Shaker Collection
60000	Grossman Reference Collection	60000	Grossman Reference Collection
			Online (we do not have a code)
